
E_TABM_158.tsv 	ALL 	LogisticRegression 	0.8435828877005347 	0.8462 	0.8636 	0.8636 	0.8636
E_TABM_158.tsv 	SMOTENN 	RandomForest 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	SMOTENN 	Gradient Boosting 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	SMOTENN 	LogisticRegression 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	EEC 	RandomForest 	0.820855614973262 	0.8205 	0.8571 	0.8182 	0.8372
E_TABM_158.tsv 	EEC 	Gradient Boosting 	0.820855614973262 	0.8205 	0.8571 	0.8182 	0.8372
E_TABM_158.tsv 	EEC 	LogisticRegression 	0.820855614973262 	0.8205 	0.8571 	0.8182 	0.8372
E_TABM_158.tsv 	RBC 	RandomForest 	0.8008021390374331 	0.8205 	0.7778 	0.9545 	0.8571
E_TABM_158.tsv 	RBC 	Gradient Boosting 	0.8008021390374331 	0.8205 	0.7778 	0.9545 	0.8571
E_TABM_158.tsv 	RBC 	LogisticRegression 	0.8008021390374331 	0.8205 	0.7778 	0.9545 	0.8571
E_TABM_158.tsv 	BBC 	RandomForest 	0.856951871657754 	0.8462 	0.9444 	0.7727 	0.8500
E_TABM_158.tsv 	BBC 	Gradient Boosting 	0.856951871657754 	0.8462 	0.9444 	0.7727 	0.8500
E_TABM_158.tsv 	BBC 	LogisticRegression 	0.856951871657754 	0.8462 	0.9444 	0.7727 	0.8500
E_TABM_158.tsv 	BRFC 	RandomForest 	0.8890374331550802 	0.8974 	0.8750 	0.9545 	0.9130
E_TABM_158.tsv 	BRFC 	Gradient Boosting 	0.8890374331550802 	0.8974 	0.8750 	0.9545 	0.9130
E_TABM_158.tsv 	BRFC 	LogisticRegression 	0.8890374331550802 	0.8974 	0.8750 	0.9545 	0.9130
GSE2990.tsv 	ROS 	RandomForest 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	ROS 	Gradient Boosting 	0.8125 	0.8611 	0.9655 	0.8750 	0.9180
GSE2990.tsv 	ROS 	LogisticRegression 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	SMOTE 	RandomForest 	0.71875 	0.8889 	0.9375 	0.9375 	0.9375
GSE2990.tsv 	SMOTE 	Gradient Boosting 	0.75 	0.7500 	0.9600 	0.7500 	0.8421
GSE2990.tsv 	SMOTE 	LogisticRegression 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	RUS 	RandomForest 	0.671875 	0.8056 	0.9310 	0.8438 	0.8852
GSE2990.tsv 	RUS 	Gradient Boosting 	0.640625 	0.7500 	0.9259 	0.7812 	0.8475
GSE2990.tsv 	RUS 	LogisticRegression 	0.9375 	0.8889 	1.0000 	0.8750 	0.9333
GSE2990.tsv 	ENN 	RandomForest 	0.609375 	0.5000 	0.9375 	0.4688 	0.6250
GSE2990.tsv 	ENN 	Gradient Boosting 	0.6875 	0.4444 	1.0000 	0.3750 	0.5455
GSE2990.tsv 	ENN 	LogisticRegression 	0.78125 	0.6111 	1.0000 	0.5625 	0.7200
GSE2990.tsv 	RENN 	RandomForest 	0.609375 	0.5000 	0.9375 	0.4688 	0.6250
GSE2990.tsv 	RENN 	Gradient Boosting 	0.6875 	0.4444 	1.0000 	0.3750 	0.5455
GSE2990.tsv 	RENN 	LogisticRegression 	0.78125 	0.6111 	1.0000 	0.5625 	0.7200
GSE2990.tsv 	ALL 	RandomForest 	0.765625 	0.7778 	0.9615 	0.7812 	0.8621
GSE2990.tsv 	ALL 	Gradient Boosting 	0.765625 	0.7778 	0.9615 	0.7812 	0.8621
GSE2990.tsv 	ALL 	LogisticRegression 	0.921875 	0.8611 	1.0000 	0.8438 	0.9153
GSE2990.tsv 	SMOTENN 	RandomForest 	0.65625 	0.3889 	1.0000 	0.3125 	0.4762
GSE2990.tsv 	SMOTENN 	Gradient Boosting 	0.734375 	0.5278 	1.0000 	0.4688 	0.6383
GSE2990.tsv 	SMOTENN 	LogisticRegression 	0.765625 	0.5833 	1.0000 	0.5312 	0.6939
GSE2990.tsv 	EEC 	RandomForest 	0.671875 	0.8056 	0.9310 	0.8438 	0.8852
GSE2990.tsv 	EEC 	Gradient Boosting 	0.671875 	0.8056 	0.9310 	0.8438 	0.8852
GSE2990.tsv 	EEC 	LogisticRegression 	0.671875 	0.8056 	0.9310 	0.8438 	0.8852
GSE2990.tsv 	RBC 	RandomForest 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	RBC 	Gradient Boosting 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	RBC 	LogisticRegression 	0.6875 	0.8333 	0.9333 	0.8750 	0.9032
GSE2990.tsv 	BBC 	RandomForest 	0.75 	0.7500 	0.9600 	0.7500 	0.8421
GSE2990.tsv 	BBC 	Gradient Boosting 	0.75 	0.7500 	0.9600 	0.7500 	0.8421
GSE2990.tsv 	BBC 	LogisticRegression 	0.75 	0.7500 	0.9600 	0.7500 	0.8421
GSE2990.tsv 	BRFC 	RandomForest 	0.65625 	0.7778 	0.9286 	0.8125 	0.8667
GSE2990.tsv 	BRFC 	Gradient Boosting 	0.65625 	0.7778 	0.9286 	0.8125 	0.8667
GSE2990.tsv 	BRFC 	LogisticRegression 	0.65625 	0.7778 	0.9286 	0.8125 	0.8667
GSE7390.tsv 	ROS 	RandomForest 	0.8928571428571428 	0.9167 	0.9302 	0.9524 	0.9412
GSE7390.tsv 	ROS 	Gradient Boosting 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	ROS 	LogisticRegression 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	SMOTE 	RandomForest 	0.869047619047619 	0.8833 	0.9268 	0.9048 	0.9157
GSE7390.tsv 	SMOTE 	Gradient Boosting 	0.7817460317460317 	0.7833 	0.8919 	0.7857 	0.8354
GSE7390.tsv 	SMOTE 	LogisticRegression 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	RUS 	RandomForest 	0.9087301587301587 	0.9167 	0.9512 	0.9286 	0.9398
GSE7390.tsv 	RUS 	Gradient Boosting 	0.7817460317460317 	0.7833 	0.8919 	0.7857 	0.8354
GSE7390.tsv 	RUS 	LogisticRegression 	0.8571428571428571 	0.8667 	0.9250 	0.8810 	0.9024
GSE7390.tsv 	ENN 	RandomForest 	0.8571428571428571 	0.8667 	0.9250 	0.8810 	0.9024
GSE7390.tsv 	ENN 	Gradient Boosting 	0.9246031746031745 	0.9167 	0.9744 	0.9048 	0.9383
GSE7390.tsv 	ENN 	LogisticRegression 	0.869047619047619 	0.8833 	0.9268 	0.9048 	0.9157
GSE7390.tsv 	RENN 	RandomForest 	0.8253968253968254 	0.8000 	0.9412 	0.7619 	0.8421
GSE7390.tsv 	RENN 	Gradient Boosting 	0.8174603174603174 	0.7667 	0.9667 	0.6905 	0.8056
GSE7390.tsv 	RENN 	LogisticRegression 	0.8492063492063492 	0.8333 	0.9444 	0.8095 	0.8718
GSE7390.tsv 	ALL 	RandomForest 	0.8373015873015871 	0.8167 	0.9429 	0.7857 	0.8571
GSE7390.tsv 	ALL 	Gradient Boosting 	0.8849206349206349 	0.8833 	0.9487 	0.8810 	0.9136
GSE7390.tsv 	ALL 	LogisticRegression 	0.873015873015873 	0.8667 	0.9474 	0.8571 	0.9000
GSE7390.tsv 	SMOTENN 	RandomForest 	0.6904761904761905 	0.5667 	1.0000 	0.3810 	0.5517
GSE7390.tsv 	SMOTENN 	Gradient Boosting 	0.6031746031746033 	0.5333 	0.8182 	0.4286 	0.5625
GSE7390.tsv 	SMOTENN 	LogisticRegression 	0.7301587301587301 	0.6667 	0.9231 	0.5714 	0.7059
GSE7390.tsv 	EEC 	RandomForest 	0.8968253968253967 	0.9000 	0.9500 	0.9048 	0.9268
GSE7390.tsv 	EEC 	Gradient Boosting 	0.8968253968253967 	0.9000 	0.9500 	0.9048 	0.9268
GSE7390.tsv 	EEC 	LogisticRegression 	0.8968253968253967 	0.9000 	0.9500 	0.9048 	0.9268
GSE7390.tsv 	RBC 	RandomForest 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	RBC 	Gradient Boosting 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	RBC 	LogisticRegression 	0.8134920634920635 	0.8500 	0.8837 	0.9048 	0.8941
GSE7390.tsv 	BBC 	RandomForest 	0.8452380952380952 	0.8500 	0.9231 	0.8571 	0.8889
GSE7390.tsv 	BBC 	Gradient Boosting 	0.8452380952380952 	0.8500 	0.9231 	0.8571 	0.8889
GSE7390.tsv 	BBC 	LogisticRegression 	0.8452380952380952 	0.8500 	0.9231 	0.8571 	0.8889
GSE7390.tsv 	BRFC 	RandomForest 	0.873015873015873 	0.8667 	0.9474 	0.8571 	0.9000
GSE7390.tsv 	BRFC 	Gradient Boosting 	0.873015873015873 	0.8667 	0.9474 	0.8571 	0.9000
GSE7390.tsv 	BRFC 	LogisticRegression 	0.873015873015873 	0.8667 	0.9474 	0.8571 	0.9000
GSE17907.tsv 	ROS 	RandomForest 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	ROS 	Gradient Boosting 	0.7232142857142857 	0.7333 	0.7000 	0.8750 	0.7778
GSE17907.tsv 	ROS 	LogisticRegression 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	SMOTE 	RandomForest 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	SMOTE 	Gradient Boosting 	0.7946428571428572 	0.8000 	0.7778 	0.8750 	0.8235
GSE17907.tsv 	SMOTE 	LogisticRegression 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	RUS 	RandomForest 	0.6696428571428572 	0.6667 	0.7143 	0.6250 	0.6667
GSE17907.tsv 	RUS 	Gradient Boosting 	0.5535714285714287 	0.5333 	0.6667 	0.2500 	0.3636
GSE17907.tsv 	RUS 	LogisticRegression 	0.875 	0.8667 	1.0000 	0.7500 	0.8571
GSE17907.tsv 	ENN 	RandomForest 	0.5 	0.5333 	0.5333 	1.0000 	0.6957
GSE17907.tsv 	ENN 	Gradient Boosting 	0.4375 	0.4667 	0.5000 	0.8750 	0.6364
GSE17907.tsv 	ENN 	LogisticRegression 	0.5 	0.5333 	0.5333 	1.0000 	0.6957
GSE17907.tsv 	RENN 	RandomForest 	0.5 	0.5333 	0.5333 	1.0000 	0.6957
GSE17907.tsv 	RENN 	Gradient Boosting 	0.4375 	0.4667 	0.5000 	0.8750 	0.6364
GSE17907.tsv 	RENN 	LogisticRegression 	0.5 	0.5333 	0.5333 	1.0000 	0.6957
GSE17907.tsv 	ALL 	RandomForest 	0.4375 	0.4667 	0.5000 	0.8750 	0.6364
GSE17907.tsv 	ALL 	Gradient Boosting 	0.5089285714285715 	0.5333 	0.5385 	0.8750 	0.6667
GSE17907.tsv 	ALL 	LogisticRegression 	0.4375 	0.4667 	0.5000 	0.8750 	0.6364
GSE17907.tsv 	SMOTENN 	RandomForest 	0.3125 	0.3333 	0.4167 	0.6250 	0.5000
GSE17907.tsv 	SMOTENN 	Gradient Boosting 	0.375 	0.4000 	0.4615 	0.7500 	0.5714
GSE17907.tsv 	SMOTENN 	LogisticRegression 	0.5178571428571428 	0.5333 	0.5455 	0.7500 	0.6316
GSE17907.tsv 	EEC 	RandomForest 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	EEC 	Gradient Boosting 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	EEC 	LogisticRegression 	0.8125 	0.8000 	1.0000 	0.6250 	0.7692
GSE17907.tsv 	RBC 	RandomForest 	0.75 	0.7333 	1.0000 	0.5000 	0.6667
GSE17907.tsv 	RBC 	Gradient Boosting 	0.75 	0.7333 	1.0000 	0.5000 	0.6667
GSE17907.tsv 	RBC 	LogisticRegression 	0.75 	0.7333 	1.0000 	0.5000 	0.6667
GSE17907.tsv 	BBC 	RandomForest 	0.6875 	0.6667 	1.0000 	0.3750 	0.5455
GSE17907.tsv 	BBC 	Gradient Boosting 	0.6875 	0.6667 	1.0000 	0.3750 	0.5455
GSE17907.tsv 	BBC 	LogisticRegression 	0.6875 	0.6667 	1.0000 	0.3750 	0.5455
GSE17907.tsv 	BRFC 	RandomForest 	0.7321428571428571 	0.7333 	0.7500 	0.7500 	0.7500
GSE17907.tsv 	BRFC 	Gradient Boosting 	0.7321428571428571 	0.7333 	0.7500 	0.7500 	0.7500
GSE17907.tsv 	BRFC 	LogisticRegression 	0.7321428571428571 	0.7333 	0.7500 	0.7500 	0.7500
GSE2603.tsv 	ROS 	RandomForest 	0.9166666666666667 	0.9333 	0.9000 	1.0000 	0.9474
GSE2603.tsv 	ROS 	Gradient Boosting 	0.9583333333333333 	0.9667 	0.9474 	1.0000 	0.9730
GSE2603.tsv 	ROS 	LogisticRegression 	0.9166666666666667 	0.9333 	0.9000 	1.0000 	0.9474
GSE2603.tsv 	SMOTE 	RandomForest 	0.9583333333333333 	0.9667 	0.9474 	1.0000 	0.9730
GSE2603.tsv 	SMOTE 	Gradient Boosting 	0.9166666666666667 	0.9333 	0.9000 	1.0000 	0.9474
GSE2603.tsv 	SMOTE 	LogisticRegression 	0.9166666666666667 	0.9333 	0.9000 	1.0000 	0.9474
GSE2603.tsv 	RUS 	RandomForest 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE2603.tsv 	RUS 	Gradient Boosting 	0.8194444444444444 	0.8000 	0.9286 	0.7222 	0.8125
GSE2603.tsv 	RUS 	LogisticRegression 	0.9166666666666667 	0.9333 	0.9000 	1.0000 	0.9474
GSE2603.tsv 	ENN 	RandomForest 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE2603.tsv 	ENN 	Gradient Boosting 	0.9583333333333333 	0.9667 	0.9474 	1.0000 	0.9730
GSE2603.tsv 	ENN 	LogisticRegression 	0.9583333333333333 	0.9667 	0.9474 	1.0000 	0.9730
GSE2603.tsv 	RENN 	RandomForest 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE2603.tsv 	RENN 	Gradient Boosting 	0.9583333333333333 	0.9667 	0.9474 	1.0000 	0.9730
